DATE	TIME	RIVER LEVEL	R/W PUMP DUTY	R/W FLOW	R/W NTU	R/W CLR	R/W PH	FILT. NTU	C/W WELL LEVEL	PH	NTU	CLR	CL2	F/RIDE	ALUM	T/W PUMP DUTY	T/W FLOW	18ML LEVEL	18ML FLOW	REMARKS
2025-01-01 00:00:00	700	6.22	2	45.3	150	850	7.0	0.04	3.82	7.2	0.12	5.0	1.5	-	0.04	2,4	42.6			
2025-01-01 00:00:00	900	6.34	2	45.2	120	830	7.0	0.05	3.81	7.2	0.12	5.0	1.5	-	0.04	2,4	42.6			
2025-01-01 00:00:00	1100	6.17	2	44.9	82	780	7.0	0.05	3.81	7.2	0.12	5.0	1.6	-	0.04	2,4	42.7			B/W No.4,6
2025-01-01 00:00:00	1300	5.99	2	44.9	62	720	7.0	0.05	3.58	7.2	0.11	5.0	1.6	-	0.04	2,4	42.3			
2025-01-01 00:00:00	1500	5.83	2	44.5	56	641	7.0	0.05	3.58	7.2	0.11	5.0	1.6	-	0.04	2,4	42.5			
2025-01-01 00:00:00	1700	5.57	1	44.5	75	694	7.0	0.06	3.71	7.2	0.11	5.0	1.6	-	0.04	2,4	42.4			
2025-01-01 00:00:00	1900	5.45	1	44.2	102	1117	7.0	0.05	3.66	7.2	0.11	5.0	1.5	-	0.04	2,4	42.6			
2025-01-01 00:00:00	2100	5.36	1	44.2	99	948	7.0	0.05	3.64	7.2	0.11	5.0	1.6	-	0.04	2,4	42.5			
2025-01-01 00:00:00	2300	5.47	1	48.9	100	950	7.0	0.05	3.8	7.2	0.12	5.0	1.6	-	0.04	2,4	42.0	-	-	B/W filter no. 2&5 (10.00pm)
2025-01-01 00:00:00	100	5.4	1	48.6	67	680	7.0	0.05	3.81	7.2	0.12	5.0	1.5	-	0.04	2,4	41.9	-	-	
2025-01-01 00:00:00	300	5.35	1	48.6	67	680	7.0	0.05	3.81	7.2	0.12	5.0	1.5	-	0.04	2,4	41.9	-	-	
2025-01-01 00:00:00	500	5.27	1	48.5	72	690	7.0	0.05	3.82	7.2	0.12	5.0	1.6	-	0.04	2,4	40.1	-	-	
2025-02-01 00:00:00	700	5.22	1	45.3	72	690	7.0	0.05	3.83	7.2	0.13	5.0	1.6	-	0.05	2,4	42.3			
2025-02-01 00:00:00	900	5.2	1	45.5	67	650	7.0	0.05	3.81	7.2	0.13	5.0	1.6	-	0.05	2,4	42.3			
2025-02-01 00:00:00	1100	5.24	1	45.3	67	650	7.0	0.05	3.82	7.2	0.13	5.0	1.6	-	0.05	2,4	42.6			
2025-02-01 00:00:00	1300	5.17	1	45.3	67	650	7.0	0.05	3.83	7.2	0.13	5.0	1.6	-	0.05	1,4	42.6			B/W no 1&3
2025-02-01 00:00:00	1500	5.16	1	45.0	64	609	7.0	0.05	3.53	7.2	0.12	5.0	1.6	-	0.05	1,4	42.6			
2025-02-01 00:00:00	1700	5.12	2	45.0	54	538	7.0	0.05	3.81	7.2	0.11	5.0	1.6	-	0.05	1,4	40.0			
2025-02-01 00:00:00	1900	5.14	2	44.9	54	538	7.0	0.04	3.81	7.2	0.11	5.0	1.5	-	0.05	1,4	42.2			
2025-02-01 00:00:00	2100	5.18	2	44.8	46	504	7.0	0.04	3.78	7.2	0.1	5.0	1.5	-	0.05	1,4	42.3			
2025-02-01 00:00:00	2300	5.16	2	46.0	46	500	7.0	0.04	3.8	7.2	0.11	5.0	1.6	-	0.05	1,4	41.7	-	-	
2025-02-01 00:00:00	100	5.12	2	45.9	45	500	7.0	0.04	3.8	7.2	0.11	5.0	1.6	-	0.05	1,4	41.7	-	-	
2025-02-01 00:00:00	300	5.1	2	45.5	42	480	7.0	0.04	3.81	7.2	0.12	5.0	1.5	-	0.05	1,4	41.7	-	-	
2025-02-01 00:00:00	500	5.1	2	45.6	42	480	7.0	0.04	3.81	7.2	0.12	5.0	1.5	-	0.05	1,4	41.7	-	-	
2025-03-01 00:00:00	700	5.2	2	45.3	41	480	7.0	0.06	3.81	7.2	0.12	5.0	1.6	-	0.05	1,4	42.3	-	-	
2025-03-01 00:00:00	900	5.25	2	44.8	38	465	7.0	0.06	3.81	7.2	0.12	5.0	1.6	-	0.05	1,4	42.1	-	-	
2025-03-01 00:00:00	1100	5.48	2	44.3	41	470	7.0	0.05	3.8	7.2	0.12	5.0	1.5	-	0.05	1,4	42.3	-	-	
2025-03-01 00:00:00	1300	5.38	2	44.2	33	435	7.0	0.06	3.74	7.2	0.11	5.0	1.5	-	0.05	1,4	47.8	-	-	
2025-03-01 00:00:00	1500	5.18	2	50.8	48	468	7.0	0.09	3.61	7.2	0.11	5.0	1.5	-	0.05	1,4	47.1			B/W no 2
2025-03-01 00:00:00	1700	4.99	2	50.1	40	441	7.0	0.03	3.69	7.2	0.11	5.0	1.6	-	0.05	1,4	46.9	-	-	
2025-03-01 00:00:00	1900	4.81	2	50.3	39	372	7.0	0.03	3.81	7.0	0.11	5.0	1.5	-	0.05	1,3,4	46.7	-	-	
2025-03-01 00:00:00	2100	4.75	2	50.2	35	351	7.0	0.03	3.78	7.2	0.11	5.0	1.5	-	0.05	1,3,4	47.2	-	-	
2025-03-01 00:00:00	2300	4.73	2	50.0	36	460	7.0	0.03	3.78	7.2	0.12	5.0	1.5	-	0.05	1,3,4	44.2	-	-	B/W filter no 6 (10.00pm)
2025-03-01 00:00:00	100	4.73	2	50.0	36	460	7.0	0.03	3.74	7.2	0.12	5.0	1.5	-	0.05	1,3,4	44.2	-	-	
2025-03-01 00:00:00	300	4.72	2	50.0	25	380	7.0	0.03	3.76	7.2	0.13	5.0	1.5	-	0.05	1,3,4	44.3	-	-	
2025-03-01 00:00:00	500	4.72	2	50.0	25	380	7.0	0.03	3.78	7.2	0.13	5.0	1.5	-	0.05	1,3,4	44.3	-	-	
2025-04-01 00:00:00	700	4.62	2	50.8	27	380	7.1	0.03	3.83	7.2	0.13	5.0	1.5	-	0.05	1,3,4	47.6	-	-	
2025-04-01 00:00:00	900	4.6	2	50.0	30	385	7.1	0.03	3.8	7.2	0.14	5.0	1.5	-	0.05	1,3,4	47.6	-	-	B/W no. 3/4
2025-04-01 00:00:00	1100	4.62	2	50.1	29	385	7.1	0.04	3.54	7.2	0.15	5.0	1.5	-	0.05	1,3,4	47.6	-	-	
2025-04-01 00:00:00	1300	4.58	2	50.0	27	380	7.1	0.06	3.4	7.2	0.12	5.0	1.6	-	0.04	1,3,4	47.4	-	-	
2025-04-01 00:00:00	1500	4.43	2	50.4	27	277	7.0	0.06	3.43	7.2	0.11	5.0	1.7	-	0.05	1,3,4	47.3	-	-	B/W fil. 5
2025-04-01 00:00:00	1700	4.44	2	50.1	28	274	7.0	0.06	3.53	7.2	0.12	5.0	1.7	-	0.05	1,4	42.3	-	-	
2025-04-01 00:00:00	1900	4.46	2	46.2	51	526	7.0	0.06	3.53	7.2	0.12	5.0	1.7	-	0.05	1,4	42.4	-	-	B/W fil. 1
2025-04-01 00:00:00	2100	4.57	2	45.8	45	500	7.0	0.06	3.54	7.2	0.11	5.0	1.6	-	0.05	1,4	42.3	-	-	
2025-04-01 00:00:00	2300	3.59	2	45.1	53	520	7.0	0.06	3.62	7.2	0.12	5.0	1.5	-	0.05	1,4	42.1	-	-	
2025-04-01 00:00:00	100	5.56	2	44.8	53	500	7.0	0.06	3.7	7.2	0.12	5.0	1.6	-	0.05	1,4	42.1	-	-	
2025-04-01 00:00:00	300	5.54	2	44.6	45	500	7.0	0.06	3.74	7.2	0.13	5.0	1.7	-	0.05	1,4	42.1	-	-	
2025-04-01 00:00:00	500	5.53	2	44.0	45	500	7.0	0.06	3.77	7.2	0.13	5.0	1.7	-	0.05	1,4	42.1	-	-	
2025-05-01 00:00:00	700	5.59	2	45.1	41	490	7.1	0.06	3.82	7.3	0.13	5.0	1.6	-	0.05	1,4	42.7			
2025-05-01 00:00:00	900	5.62	2	45.2	53	538	7.1	0.05	3.74	7.3	0.13	5.0	1.6	-	0.05	1,4	42.7			
2025-05-01 00:00:00	1100	5.71	2	45.5	45	500	7.1	0.07	3.82	7.3	0.12	5.0	1.6	-	0.05	1,4	42.6			
2025-05-01 00:00:00	1300	5.68	2	45.3	54	538	7.1	0.07	3.81	7.3	0.12	5.0	1.6	-	0.05	1,4	42.8			
2025-05-01 00:00:00	1500	5.66	2	45.2	54	539	7.1	0.03	3.81	7.3	0.12	5.0	1.4	-	0.06	1,4	42.8			B/W no. 2
2025-05-01 00:00:00	1700	5.63	2	45.4	61	599	7.1	0.03	3.81	7.3	0.12	5.0	1.4	-	0.06	1,4	42.4			
2025-05-01 00:00:00	1900	5.62	2	45.4	56	542	7.1	0.03	3.81	7.3	0.11	5.0	1.4	-	0.06	1,4	42.5			
2025-05-01 00:00:00	2100	5.66	2	45.3	55	520	7.1	0.03	3.81	7.3	0.11	5.0	1.5	-	0.06	1,4	42.5			
2025-05-01 00:00:00	2300	5.76	2	45.0	79	572	7.1	0.03	3.81	7.3	0.11	5.0	1.5	-	0.06	1,4	42.5			
2025-05-01 00:00:00	100	5.84	2	45.1	75	551	7.1	0.03	3.8	7.3	0.12	5.0	1.5	-	0.06	1,4	42.5			
2025-05-01 00:00:00	300	5.94	2	45.1	70	534	7.1	0.03	3.8	7.3	0.12	5.0	1.5	-	0.06	1,4	42.4			
2025-05-01 00:00:00	500	6.15	2	45.1	66	521	7.1	0.03	3.8	7.3	0.13	5.0	1.5	-	0.06	1,4	42.4			
2025-06-01 00:00:00	700	6.05	2	45.3	68	677	7.0	0.03	3.82	7.3	0.13	5.0	1.8	-	0.05	1,4	42.5	-	-	B/W no.3
2025-06-01 00:00:00	900	5.9	2	45.6	68	677	7.0	0.03	3.79	7.3	0.13	5.0	1.7	-	0.05	2,3	44.2	-	-	
2025-06-01 00:00:00	1100	5.75	2	45.4	65	640	7.0	0.03	3.76	7.3	0.13	5.0	1.5	-	0.05	2,3	43.8	-	-	
2025-06-01 00:00:00	1300	5.74	2	45.2	42	409	7.0	0.03	3.75	7.3	0.11	5.0	1.5	-	0.05	2,3	43.0	-	-	B/W no.6
2025-06-01 00:00:00	1500	5.78	2	45.0	40	480	7.0	0.03	3.57	7.3	0.11	5.0	1.5	-	0.05	2,3	42.2	-	-	
2025-06-01 00:00:00	1700	5.62	2	45.0	35	450	7.0	0.03	3.72	7.3	0.12	5.0	1.5	-	0.05	2,3	42.2	-	-	
2025-06-01 00:00:00	1900	5.59	2	45.0	32	380	7.0	0.03	3.72	7.3	0.12	5.0	1.5	-	0.05	2,3	42.2	-	-	
2025-06-01 00:00:00	2100	5.59	2	44.0	41	480	7.0	0.03	3.7	7.3	0.12	5.0	1.5	-	0.05	2,3	42.2	-	-	
2025-06-01 00:00:00	2300	5.59	2	45.3	35	380	7.0	0.03	3.73	7.3	0.11	5.0	1.5	-	0.05	2,3	42.6	-	-	
2025-06-01 00:00:00	100	5.45	2	45.3	33	375	7.0	0.05	3.75	7.3	0.13	5.0	1.5	-	0.05	2,3	42.5	-	-	
2025-06-01 00:00:00	300	5.38	2	45.4	33	375	7.0	0.05	3.78	7.3	0.13	5.0	1.5	-	0.05	2,3	42.6	-	-	
2025-06-01 00:00:00	500	5.26	2	45.3	31	370	7.0	0.06	3.8	7.3	0.13	5.0	1.6	-	0.05	2,3	42.6	-	-	B/W
2025-07-01 00:00:00	700	5.14	1	45.0	31	307	7.0	0.06	3.63	7.3	0.13	5.0	1.7	-	0.05	2,3	38.6	-	-	B/W fil. 2
2025-07-01 00:00:00	900	5.07	1	45.2	29	283	7.0	0.03	3.5	7.3	0.14	5.0	1.6	-	0.05	2,3	42.4	-	-	
2025-07-01 00:00:00	1100	4.93	1	45.0	26	251	7.0	0.03	3.49	7.3	0.15	5.0	1.6	-	0.05	2,3	42.5	-	-	
2025-07-01 00:00:00	1300	4.88	1	45.0	20	250	7.0	0.03	3.51	7.3	0.15	5.0	1.6	-	0.05	2,3	42.5	-	-	
2025-07-01 00:00:00	1500	5.05	1	44.0	27	250	7.0	0.03	3.5	7.3	0.14	5.0	1.6	-	0.05	2,3	42.0	-	-	B/W filter no. (2.00pm)
2025-07-01 00:00:00	1700	5.03	1	44.2	18	180	7.0	0.03	3.46	7.3	0.15	5.0	1.6	-	0.05	2,3	42.0	-	-	
2025-07-01 00:00:00	1900	4.96	1	43.9	18	180	7.0	0.03	3.56	7.3	0.15	5.0	1.6	-	0.05	2,3	42.0	-	-	
2025-07-01 00:00:00	2100	4.89	1	44.4	25	250	7.0	0.03	3.57	7.3	0.15	5.0	1.5	-	0.05	2,3	42.1	-	-	
2025-07-01 00:00:00	2300	4.86	1	45.4	22	230	7.0	0.03	3.61	7.3	0.14	5.0	1.5	-	0.05	2,3	42.8	-	-	
2025-07-01 00:00:00	100	4.86	1	45.3	20	250	7.0	0.03	3.68	7.3	0.13	5.0	1.5	-	0.05	2,3	42.6	-	-	
2025-07-01 00:00:00	300	4.85	1	45.1	17	180	7.0	0.03	3.75	7.3	0.12	5.0	1.5	-	0.05	2,3	42.7	-	-	
2025-07-01 00:00:00	500	4.83	1	45.3	18	180	7.0	0.03	3.81	7.3	0.12	5.0	1.5	-	0.05	2,3	43.1	-	-	
2025-08-01 00:00:00	700	4.89	1	45.4	18	176	7.0	0.03	3.78	7.2	0.12	5.0	1.7	-	0.05	-	43.6	-	-	
2025-08-01 00:00:00	900	4.86	1	45.3	19	178	7.0	0.03	3.81	7.3	0.11	5.0	1.7	-	0.06	-	43.2	-	-	
2025-08-01 00:00:00	1100	4.82	1	45.5	21	204	7.0	0.03	3.81	7.3	0.12	5.0	1.7	-	0.06	-	45.3	-	-	
2025-08-01 00:00:00	1300	4.76	1	45.6	21	204	7.0	0.03	3.81	7.3	0.13	5.0	1.5	-	0.06	-	45.3	-	-	
