TIME 	RIVER LEVEL	R/W PUMP DUTY	R/W FLOW	R/W NTU	R/W CLR	R/W PH	FILT. NTU	C/W WELL LEVEL	PH	NTU	CLR	CL2	F/RIDE	ALUM	T/W PUMP DUTY	T/W FLOW	18ML LEVEL	18ML FLOW	REMARKS
700	6.28	2	48.6	16	154	7	0.51	3.78	7.3	0.65	5	1.2	0.01	0.05	2+4	46.2			
900	6.2	2	48.5	18	168	7	0.58	3.81	7.3	0.72	5	1.2	0.01	0.05	2+4	46.3			
1100	6.02	2	49.5	18	168	7	0.61	3.59	7.3	0.84	5	1.0	0.01	0.05	2+4	46.2			
1300	5.97	2	49.6	18	168	7	1.74	3.52	7.3	0.93	5	1.0	0.01	0.05	2+4	46.2			
1500	5.9	2	49.5	18	168	7	1.81	3.55	7.3	1.28	5	1.0	0.01	0.05	2+4	46.0			
1700	5.78	2	49.5	19	169	7	1.37	3.64	7.3	1.37	5	1.0	0.01	0.06	2+4	46.0			
1900	5.74	2	49.2	19	169	7	0.08	3.71	7.3	0.61	5	1.5	0.01	0.06	2+4	46.0			
2100	5.7	2	49.2	19	169	7	0.09	3.75	7.3	0.31	5	1.5	0.01	0.06	2+4	46.0			
2300	5.68	2	49.0	18	166	7	0.15	3.78	7.3	0.24	5	1.6	0.01	0.06	2+4	46.3			
100	5.6	2	49.0	16	161	7	0.1	3.8	7.3	0.22	5	1.8	0.01	0.06	2+4	46.3			
300	5.46	2	48.8	14	158	7	0.08	3.81	7.3	0.21	5	1.6	0.01	0.06	2+4	46.3			
500	5.44	2	48.7	12	150	7	0.08	3.78	7.3	0.2	5	1.7	0.01	0.06	2+4	46.2			
